gene_id_base	gene_name	transcript_id	clip_points_3utr	clip_points_5utr	clip_points_cds	rna_control_reads_3utr	rna_control_reads_5utr	rna_control_reads_cds	region_length_3utr	region_length_5utr	region_length_cds
ENSMUSG00000024982	Zdhhc6	ENSMUST00000076891.7	86	184	865	59	69	195	468	556	1239
ENSMUSG00000024983	Vti1a	ENSMUST00000095950.3	23	0	55	20	5	32	2654	100	651
ENSMUSG00000024985	Tcf7l2	ENSMUST00000111656.8	31	0	26	30	2	24	2242	10	1377
ENSMUSG00000024986	Hhex	ENSMUST00000025944.9	4	0	13	4	0	10	929	60	813
ENSMUSG00000024987	Cyp26a1	ENSMUST00000025946.7	0	0	0	0	0	1	188	112	1491
ENSMUSG00000024989	Cep55	ENSMUST00000169673.3	120	27	264	116	50	184	926	445	1386
ENSMUSG00000024990	Rbp4	ENSMUST00000112335.4	16	0	30	0	1	10	245	89	603
ENSMUSG00000024991	Eif3a	ENSMUST00000025955.8	1120	72	15039	430	103	4391	967	126	4032
ENSMUSG00000024992	Pde6c	ENSMUST00000025956.13	0	0	3	0	0	1	3	0	2583
ENSMUSG00000024993	Dennd10	ENSMUST00000025957.9	125	0	119	24	7	92	1228	8	1071
ENSMUSG00000024997	Prdx3	ENSMUST00000025961.7	341	6	128	79	36	250	618	89	771
ENSMUSG00000024998	Plce1	ENSMUST00000169713.9	53	0	187	18	2	135	2531	62	6846
ENSMUSG00000024999	Noc3l	ENSMUST00000025963.8	233	34	600	123	35	530	1420	136	2421
ENSMUSG00000025001	Hells	ENSMUST00000025965.12	2813	26	4903	592	81	1746	3227	178	2463
ENSMUSG00000025002	Cyp2c55	ENSMUST00000025966.5	0	0	0	0	0	1	498	27	1470
ENSMUSG00000025003	Cyp2c39	ENSMUST00000025968.5	0	0	0	0	0	0	338	9	1470
ENSMUSG00000025004	Cyp2c40	ENSMUST00000160476.9	0	0	0	0	0	0	238	92	1473
ENSMUSG00000025006	Sorbs1	ENSMUST00000099466.10	0	0	227	0	0	128	3	0	2220
ENSMUSG00000025007	Aldh18a1	ENSMUST00000025979.13	221	57	520	181	49	683	894	248	2385
ENSMUSG00000025008	Tctn3	ENSMUST00000025981.15	7	0	115	10	0	49	869	89	1785
ENSMUSG00000025010	Ccnj	ENSMUST00000025983.13	274	0	20	60	4	37	2477	205	1137
ENSMUSG00000025013	Tll2	ENSMUST00000025986.15	0	0	3	0	0	0	1432	190	3036
ENSMUSG00000025014	Dntt	ENSMUST00000112200.3	0	0	0	0	0	0	361	57	1530
ENSMUSG00000025016	Tm9sf3	ENSMUST00000025989.10	2163	0	3048	189	8	345	6201	143	1752
ENSMUSG00000025017	Pik3ap1	ENSMUST00000059672.9	0	0	0	2	0	1	1922	127	2433
ENSMUSG00000025019	Lcor	ENSMUST00000067795.13	133	82	113	120	22	23	2984	550	1299
ENSMUSG00000025020	Slit1	ENSMUST00000025993.10	0	0	17	0	0	7	195	257	4593
ENSMUSG00000025024	Smndc1	ENSMUST00000025997.7	320	9	195	170	27	210	1071	163	714
ENSMUSG00000025025	Mxi1	ENSMUST00000111737.3	117	3	220	131	10	84	1421	235	684
ENSMUSG00000025026	Add3	ENSMUST00000025999.7	113	0	229	99	8	313	2112	104	2118
ENSMUSG00000025027	Xpnpep1	ENSMUST00000183108.8	53	12	859	99	14	1512	411	1669	1998
ENSMUSG00000025034	Trim8	ENSMUST00000026008.9	384	28	514	58	53	312	1185	742	1653
ENSMUSG00000025035	Arl3	ENSMUST00000026009.10	32	1	390	16	3	98	246	51	546
ENSMUSG00000025036	Sfxn2	ENSMUST00000026011.8	110	26	62	39	6	58	2127	112	966
ENSMUSG00000025037	Maoa	ENSMUST00000026013.6	51	0	860	58	0	374	2446	143	1578
ENSMUSG00000025038	Efhc2	ENSMUST00000026014.8	0	0	29	0	0	8	219	85	2250
ENSMUSG00000025040	Fundc1	ENSMUST00000026016.13	165	0	57	36	3	44	1373	145	465
ENSMUSG00000025041	Nt5c2	ENSMUST00000168536.9	87	8	220	32	14	203	1992	56	1680
ENSMUSG00000025043	Dusp21	ENSMUST00000026018.4	0	0	0	0	0	0	186	92	567
ENSMUSG00000025044	Msr1	ENSMUST00000170091.3	0	0	0	0	0	0	2521	53	1062
ENSMUSG00000025047	Pdcd11	ENSMUST00000072141.4	426	48	4212	74	61	1759	1058	117	5586
ENSMUSG00000025049	Taf5	ENSMUST00000026027.7	119	0	219	41	0	191	838	19	2403
ENSMUSG00000025050	Pcgf6	ENSMUST00000026032.7	85	0	172	190	30	233	1015	85	1059
ENSMUSG00000025051	Samt4	ENSMUST00000026029.2	0	0	0	0	0	0	117	147	699
ENSMUSG00000025056	Nr0b1	ENSMUST00000026036.5	342	0	557	112	9	808	355	37	1416
ENSMUSG00000025058	Tasl	ENSMUST00000113976.2	0	0	0	0	0	0	2776	84	894
ENSMUSG00000025059	Gk	ENSMUST00000113978.9	25	0	97	42	4	130	2452	150	1677
ENSMUSG00000025060	Slk	ENSMUST00000051691.8	35	4	1112	21	1	370	365	175	3699
ENSMUSG00000025064	Col17a1	ENSMUST00000086923.6	0	0	18	3	0	5	885	293	4299
ENSMUSG00000025066	Sfr1	ENSMUST00000099353.6	598	16	1011	182	55	559	573	127	957
ENSMUSG00000025068	Gsto1	ENSMUST00000026050.8	8	8	333	57	21	265	343	119	720
ENSMUSG00000025069	Gsto2	ENSMUST00000056159.11	0	0	2	0	0	2	138	469	744
ENSMUSG00000025075	Habp2	ENSMUST00000095948.11	8	0	0	0	0	0	1190	74	1551
ENSMUSG00000025076	Casp7	ENSMUST00000026062.10	23	0	17	14	2	20	1252	189	909
ENSMUSG00000025077	Dclre1a	ENSMUST00000182276.2	3	3	129	15	8	64	336	589	3141
ENSMUSG00000025078	Nhlrc2	ENSMUST00000071423.7	309	0	281	171	3	233	5994	422	2175
ENSMUSG00000025081	Tdrd1	ENSMUST00000111604.2	3	0	5	1	0	11	1313	358	3516
ENSMUSG00000025082	Vwa2	ENSMUST00000026068.8	30	0	26	5	0	24	1336	340	2373
ENSMUSG00000025083	Afap1l2	ENSMUST00000122359.8	1	0	13	11	0	17	1024	336	2307
ENSMUSG00000025085	Ablim1	ENSMUST00000111524.8	0	0	0	0	0	0	241	206	804
ENSMUSG00000025086	Trub1	ENSMUST00000026073.14	24	0	19	19	0	22	2740	35	1014
ENSMUSG00000025089	Gfra1	ENSMUST00000026076.14	3	0	0	2	0	1	2790	447	1404
ENSMUSG00000025090	Ccdc172	ENSMUST00000069419.8	0	5	6	2	1	2	117	91	801
ENSMUSG00000025091	Pnliprp2	ENSMUST00000026081.5	0	0	7	0	0	1	56	70	1446
ENSMUSG00000025092	Hspa12a	ENSMUST00000066285.6	57	0	0	13	1	14	3614	95	2025
ENSMUSG00000025094	Slc18a2	ENSMUST00000026084.5	0	0	0	0	0	0	2099	135	1551
ENSMUSG00000025102	3110040N11Rik	ENSMUST00000026092.9	40	6	30	21	13	59	415	94	378
ENSMUSG00000025103	Btbd1	ENSMUST00000026093.9	225	0	63	41	5	148	1497	40	1464
ENSMUSG00000025104	Hdgfl3	ENSMUST00000107305.8	90	0	31	23	3	8	4830	451	606
ENSMUSG00000025105	Bnc1	ENSMUST00000026096.10	0	0	0	0	0	0	1693	17	2970
ENSMUSG00000025127	Gcgr	ENSMUST00000026119.8	0	0	1	0	0	3	290	212	1455
ENSMUSG00000025128	Bhlhe22	ENSMUST00000026120.8	0	0	0	1	0	0	1665	614	1065
ENSMUSG00000025129	Ppp1r27	ENSMUST00000026121.3	0	0	0	0	1	0	230	79	462
ENSMUSG00000025130	P4hb	ENSMUST00000026122.11	3208	18	22589	1606	174	3762	888	446	1527
ENSMUSG00000025132	Arhgdia	ENSMUST00000067936.6	391	3	2163	1640	103	1930	1125	413	612
ENSMUSG00000025133	Ints4	ENSMUST00000026126.10	16	13	790	19	23	816	207	141	2892
ENSMUSG00000025134	Alyref	ENSMUST00000026125.3	4786	0	1740	324	26	1178	2735	27	765
ENSMUSG00000025135	Anapc11	ENSMUST00000026128.10	735	93	260	183	92	337	2775	202	252
ENSMUSG00000025137	Pcyt2	ENSMUST00000026129.16	41	6	128	122	3	334	585	84	1212
ENSMUSG00000025138	Sirt7	ENSMUST00000080202.12	1	0	10	28	0	103	479	42	1206
ENSMUSG00000025139	Tollip	ENSMUST00000001950.12	357	7	44	301	8	110	2787	179	822
ENSMUSG00000025140	Pycr1	ENSMUST00000170556.8	9	7	16	13	16	115	1542	445	927
ENSMUSG00000025141	Myadml2	ENSMUST00000026134.3	0	0	0	0	0	0	321	151	459
ENSMUSG00000025142	Aspscr1	ENSMUST00000026135.15	4	0	303	20	18	1332	93	77	1650
ENSMUSG00000025144	Cenpx	ENSMUST00000055424.13	44	69	54	93	22	191	353	19	234
ENSMUSG00000025145	Lrrc45	ENSMUST00000026139.14	18	1	49	15	14	173	317	165	2010
ENSMUSG00000025147	Mob2	ENSMUST00000084418.4	64	3	116	31	10	65	721	64	705
ENSMUSG00000025150	Cbr2	ENSMUST00000026148.9	0	0	0	1	1	0	236	142	732
ENSMUSG00000025151	Maged1	ENSMUST00000026142.8	734	54	1323	41	63	872	215	281	2325
ENSMUSG00000025153	Fasn	ENSMUST00000055655.9	3332	45	4127	555	127	8473	2011	527	7512
ENSMUSG00000025154	Arhgap19	ENSMUST00000026150.15	1267	0	340	817	4	229	3601	20	1482
ENSMUSG00000025155	Dus1l	ENSMUST00000167023.8	14	32	814	75	114	832	221	263	1425
ENSMUSG00000025156	Gps1	ENSMUST00000116305.8	11	0	305	108	5	946	361	5	1461
ENSMUSG00000025157	Zdhhc16	ENSMUST00000026154.9	15	63	137	31	27	176	411	327	1083
ENSMUSG00000025158	Rfng	ENSMUST00000026156.8	67	0	159	88	2	128	1077	45	996
ENSMUSG00000025159	Mms19	ENSMUST00000171561.8	77	0	193	107	6	948	3470	44	3093
ENSMUSG00000025161	Slc16a3	ENSMUST00000168579.8	220	60	490	155	84	438	2739	186	1410
ENSMUSG00000025162	Csnk1d	ENSMUST00000018274.10	674	14	615	660	72	765	2110	320	1245
ENSMUSG00000025163	Cd7	ENSMUST00000026159.6	1	0	15	0	0	1	299	53	630
ENSMUSG00000025165	Sectm1a	ENSMUST00000026162.12	2	0	0	0	0	0	913	203	576
ENSMUSG00000025169	Ogfod3	ENSMUST00000026169.7	37	1	82	1	5	55	214	149	945
ENSMUSG00000025170	Rab40b	ENSMUST00000106107.3	0	0	0	0	0	0	915	109	837
ENSMUSG00000025171	Ubtd1	ENSMUST00000026170.3	7	0	26	25	7	22	672	176	681
ENSMUSG00000025172	Ankrd2	ENSMUST00000026172.3	0	0	0	0	0	0	106	10	984
ENSMUSG00000025173	Wdr45b	ENSMUST00000026173.13	170	4	277	437	39	415	1137	152	1032
ENSMUSG00000025175	Fn3k	ENSMUST00000026175.9	0	0	19	0	0	11	44	76	927
ENSMUSG00000025176	Hoga1	ENSMUST00000081714.5	0	0	1	1	0	0	619	86	963
ENSMUSG00000025178	Pi4k2a	ENSMUST00000066778.6	78	0	70	223	2	199	2136	31	1437
ENSMUSG00000025184	R3hcc1l	ENSMUST00000026188.10	42	0	309	35	0	82	1674	113	2325
ENSMUSG00000025185	Loxl4	ENSMUST00000026190.14	0	0	20	5	0	5	1355	112	2271
ENSMUSG00000025188	Hps1	ENSMUST00000162004.8	0	3	101	42	45	268	532	203	2112
ENSMUSG00000025189	Cnnm1	ENSMUST00000165311.3	9	0	6	0	0	1	2175	9	2853
ENSMUSG00000025190	Got1	ENSMUST00000026196.14	300	1	347	181	36	674	669	150	1239
ENSMUSG00000025192	Entpd7	ENSMUST00000081079.6	380	7	281	20	7	63	3765	328	1818
ENSMUSG00000025193	Cutc	ENSMUST00000112047.10	14	3	22	2	0	12	352	65	816
ENSMUSG00000025194	Abcc2	ENSMUST00000026208.6	28	0	54	10	0	15	3186	212	4629
ENSMUSG00000025195	Dnmbp	ENSMUST00000212592.2	83	0	278	50	3	194	1274	158	2469
ENSMUSG00000025196	Cpn1	ENSMUST00000026210.5	0	0	35	2	1	71	189	268	1371
ENSMUSG00000025197	Cyp2c23	ENSMUST00000026211.10	0	0	12	2	0	1	422	12	1482
ENSMUSG00000025198	Erlin1	ENSMUST00000170801.8	900	0	447	105	3	61	1986	142	1044
ENSMUSG00000025199	Chuk	ENSMUST00000026217.11	192	0	793	84	1	322	1179	88	2235
ENSMUSG00000025200	Cwf19l1	ENSMUST00000026218.7	52	0	117	58	7	122	1882	88	1611
ENSMUSG00000025202	Scd3	ENSMUST00000026220.7	15	0	39	12	0	295	2160	252	1077
ENSMUSG00000025203	Scd2	ENSMUST00000026221.7	32530	219	2707	3320	452	1735	3667	714	1074
ENSMUSG00000025204	Ndufb8	ENSMUST00000026222.11	249	28	4143	46	20	679	83	39	558
ENSMUSG00000025207	Sema4g	ENSMUST00000026225.15	30	10	88	18	4	61	1403	634	2511
ENSMUSG00000025208	Mrpl43	ENSMUST00000097715.4	271	0	41	139	13	140	873	48	477
ENSMUSG00000025209	Twnk	ENSMUST00000026227.3	62	104	69	72	50	216	861	572	2055
ENSMUSG00000025212	Sfxn3	ENSMUST00000062213.13	16	0	20	8	0	14	1684	220	963
ENSMUSG00000025213	Kazald1	ENSMUST00000111948.8	0	0	0	0	0	0	325	361	939
ENSMUSG00000025215	Tlx1	ENSMUST00000026236.11	0	0	0	0	0	0	830	236	999
ENSMUSG00000025216	Lbx1	ENSMUST00000099401.6	0	0	0	0	0	0	1053	585	846
ENSMUSG00000025217	Btrc	ENSMUST00000065601.13	21	0	219	34	3	314	1075	88	1815
ENSMUSG00000025218	Poll	ENSMUST00000026239.7	15	0	62	17	2	75	534	71	1719
ENSMUSG00000025219	Fgf8	ENSMUST00000026240.14	0	0	0	0	0	5	195	190	732
ENSMUSG00000025220	Oga	ENSMUST00000026243.5	1520	12	1587	457	74	1006	1888	421	2748
ENSMUSG00000025221	Kcnip2	ENSMUST00000162528.9	8	0	6	9	0	11	1327	258	810
ENSMUSG00000025223	Ldb1	ENSMUST00000056931.14	292	9	619	311	154	1174	520	650	1125
ENSMUSG00000025224	Gbf1	ENSMUST00000026254.14	66	0	512	48	24	540	573	294	5583
ENSMUSG00000025225	Nfkb2	ENSMUST00000111881.4	0	2	44	3	10	149	136	308	2697
ENSMUSG00000025226	Fbxl15	ENSMUST00000026256.9	3	0	5	5	4	15	158	290	900
ENSMUSG00000025227	Mfsd13a	ENSMUST00000086969.13	112	26	166	124	48	359	541	180	1557
ENSMUSG00000025228	Actr1a	ENSMUST00000040270.6	366	0	236	232	18	232	1559	70	1128
ENSMUSG00000025229	Pitx3	ENSMUST00000026259.16	0	0	0	0	5	4	336	138	906
ENSMUSG00000025231	Sufu	ENSMUST00000039922.13	90	0	80	125	3	105	2863	207	1452
ENSMUSG00000025232	Hexa	ENSMUST00000026262.8	38	1	660	25	5	218	228	184	1584
ENSMUSG00000025234	Arih1	ENSMUST00000171975.8	890	1	1090	400	35	552	5039	267	1665
ENSMUSG00000025235	Bbs4	ENSMUST00000026265.8	87	0	101	15	0	74	883	75	1560
ENSMUSG00000025236	Adpgk	ENSMUST00000217570.2	384	3	439	99	7	347	920	76	1488
ENSMUSG00000025237	Parp6	ENSMUST00000050483.15	7	8	14	6	15	59	246	555	1830
ENSMUSG00000025239	Limd1	ENSMUST00000026269.4	134	16	48	29	18	110	2312	532	2004
ENSMUSG00000025240	Sacm1l	ENSMUST00000026270.9	220	2	417	75	6	212	1666	131	1761
ENSMUSG00000025241	Fyco1	ENSMUST00000084715.14	104	0	287	38	7	101	3177	461	4311
ENSMUSG00000025243	Slc6a20b	ENSMUST00000026273.11	0	0	0	9	0	17	4196	206	1905
ENSMUSG00000025245	Lztfl1	ENSMUST00000026274.14	107	7	60	54	2	51	3076	97	897
ENSMUSG00000025246	Tbl1x	ENSMUST00000088217.12	857	133	576	262	77	264	3245	408	1581
ENSMUSG00000025255	Zfhx4	ENSMUST00000026284.13	9	0	48	0	0	11	2711	420	10743
ENSMUSG00000025257	Ribc1	ENSMUST00000026288.5	0	6	41	1	2	26	150	221	1137
ENSMUSG00000025260	Hsd17b10	ENSMUST00000026289.10	11	0	219	28	10	368	116	63	783
ENSMUSG00000025261	Huwe1	ENSMUST00000026292.15	781	292	26957	103	142	6984	1037	408	13134
ENSMUSG00000025262	Fam120c	ENSMUST00000073364.6	30	0	13	3	0	12	2115	75	3273
ENSMUSG00000025264	Tsr2	ENSMUST00000112683.9	209	0	219	90	3	75	3189	31	576
ENSMUSG00000025265	Fgd1	ENSMUST00000026296.8	35	1	802	50	36	713	616	505	2880
ENSMUSG00000025266	Gnl3l	ENSMUST00000112691.9	872	0	708	506	32	565	2966	172	1731
ENSMUSG00000025268	Maged2	ENSMUST00000112699.9	0	6	84	6	5	95	196	139	1848
ENSMUSG00000025269	Apex2	ENSMUST00000026303.16	18	14	38	11	2	79	263	73	1548
ENSMUSG00000025270	Alas2	ENSMUST00000066337.13	0	0	0	0	0	0	150	126	1761
ENSMUSG00000025271	Pfkfb1	ENSMUST00000080884.11	3	0	62	4	0	29	259	136	1344
ENSMUSG00000025272	Tro	ENSMUST00000087258.10	29	13	988	27	4	630	232	66	6261
ENSMUSG00000025277	Abhd6	ENSMUST00000166497.9	147	0	297	14	7	33	1122	96	1008
ENSMUSG00000025278	Flnb	ENSMUST00000052678.9	532	47	5468	139	27	1428	1099	195	7806
ENSMUSG00000025279	Dnase1l3	ENSMUST00000026315.8	1	0	0	0	0	1	3229	588	930
ENSMUSG00000025280	Polr3a	ENSMUST00000026322.9	65	18	1414	41	7	609	381	136	4170
ENSMUSG00000025283	Sat1	ENSMUST00000026318.15	61	12	98	63	36	161	368	281	513
ENSMUSG00000025287	Acot9	ENSMUST00000026324.10	119	9	360	34	38	293	223	212	1317
ENSMUSG00000025288	4933436I01Rik	ENSMUST00000026325.2	0	0	24	0	0	0	101	38	1287
ENSMUSG00000025289	Prdx4	ENSMUST00000026328.11	21	50	1576	7	20	278	63	105	822
ENSMUSG00000025290	Rps24	ENSMUST00000169826.3	13465	10	2274	1454	439	3827	91	38	390
ENSMUSG00000025314	Ptprj	ENSMUST00000168621.3	333	0	370	31	0	62	3524	60	4050
ENSMUSG00000025316	Banp	ENSMUST00000170857.8	95	9	32	80	35	194	3626	174	1644
ENSMUSG00000025317	Car5a	ENSMUST00000057653.8	0	0	0	14	0	1	241	111	897
ENSMUSG00000025318	Jph3	ENSMUST00000026357.12	0	0	2	0	0	6	1345	60	2232
ENSMUSG00000025321	Itgb8	ENSMUST00000026360.9	6	0	2	0	0	0	5098	1004	2301
ENSMUSG00000025323	Sp4	ENSMUST00000222314.2	7	2	137	0	4	63	196	135	2346
ENSMUSG00000025324	Atp10a	ENSMUST00000168747.3	28	0	423	2	2	92	686	209	4524
ENSMUSG00000025326	Ube3a	ENSMUST00000200758.4	2745	19	3738	386	103	321	6609	637	2610
ENSMUSG00000025328	Padi3	ENSMUST00000026377.9	0	0	5	9	0	23	1039	41	1992
ENSMUSG00000025329	Padi1	ENSMUST00000026378.4	0	0	0	1	0	0	1641	127	1986
ENSMUSG00000025330	Padi4	ENSMUST00000026381.7	4	0	9	1	0	17	262	56	1998
ENSMUSG00000025332	Kdm5c	ENSMUST00000112588.9	98	8	1495	124	48	1391	1464	332	4653
ENSMUSG00000025333	Gpr143	ENSMUST00000026383.4	0	0	0	0	0	3	314	57	1215
ENSMUSG00000025337	Sbds	ENSMUST00000026387.11	382	3	307	88	31	152	605	193	750
ENSMUSG00000025340	Rabgef1	ENSMUST00000026390.8	33	3	72	35	2	61	1108	247	1473
ENSMUSG00000025347	Mettl7b	ENSMUST00000026398.5	0	0	0	0	0	0	448	50	732
ENSMUSG00000025348	Itga7	ENSMUST00000218290.2	2	8	63	0	1	31	431	169	3420
ENSMUSG00000025350	Rdh5	ENSMUST00000026406.14	0	0	0	0	0	8	123	181	954
ENSMUSG00000025351	Cd63	ENSMUST00000026407.9	191	68	437	14	45	350	78	271	714
ENSMUSG00000025352	Gdf11	ENSMUST00000026408.7	31	0	6	9	0	3	2814	33	1215
ENSMUSG00000025353	Ormdl2	ENSMUST00000026409.5	1085	62	106	66	38	191	981	133	459
ENSMUSG00000025354	Dnajc14	ENSMUST00000026410.2	127	1	872	30	2	198	2038	82	2109
ENSMUSG00000025355	Mmp19	ENSMUST00000026411.8	8	0	0	3	0	1	1727	94	1581
ENSMUSG00000025357	Dgka	ENSMUST00000026414.9	0	0	91	21	8	210	292	352	2190
ENSMUSG00000025358	Cdk2	ENSMUST00000026415.9	149	12	147	194	26	321	1170	176	894
ENSMUSG00000025359	Pmel	ENSMUST00000054125.9	0	0	285	14	1	169	224	28	1878
ENSMUSG00000025362	Rps26	ENSMUST00000026420.7	19356	45	513	465	25	4183	67	269	345
ENSMUSG00000025364	Pa2g4	ENSMUST00000131728.4	402	117	2300	533	283	2642	1141	160	1182
ENSMUSG00000025366	Esyt1	ENSMUST00000026427.8	28	0	2066	24	8	620	658	47	3276
ENSMUSG00000025369	Smarcc2	ENSMUST00000026433.9	23	0	194	17	0	151	1203	33	3297
ENSMUSG00000025370	Cdh9	ENSMUST00000228307.2	7	0	16	0	0	7	855	320	2364
ENSMUSG00000025371	Chmp6	ENSMUST00000026434.13	74	0	209	107	3	161	892	65	600
ENSMUSG00000025372	Baiap2	ENSMUST00000026436.10	3	0	17	30	14	98	357	432	1605
ENSMUSG00000025373	Rnf41	ENSMUST00000171342.3	91	30	128	31	21	109	1957	375	951
ENSMUSG00000025374	Nabp2	ENSMUST00000164199.8	63	2	161	28	3	124	332	403	636
ENSMUSG00000025375	Aatk	ENSMUST00000103020.8	2	0	8	1	0	4	1087	649	3951
ENSMUSG00000025377	Tepsin	ENSMUST00000093901.12	40	0	34	148	5	264	993	58	1719
ENSMUSG00000025380	Fscn2	ENSMUST00000026445.3	0	0	0	0	0	0	62	175	1476
ENSMUSG00000025381	Cnpy2	ENSMUST00000219037.2	469	497	986	54	76	307	495	342	546
ENSMUSG00000025383	Il23a	ENSMUST00000026449.3	14	0	7	4	0	5	660	112	588
ENSMUSG00000025384	Faap100	ENSMUST00000026448.10	3	0	74	39	3	259	498	58	2637
ENSMUSG00000025386	Pde6g	ENSMUST00000026452.3	0	0	0	0	0	0	476	163	261
ENSMUSG00000025389	Mip	ENSMUST00000026455.8	32	0	30	8	2	16	1311	44	789
ENSMUSG00000025393	Atp5b	ENSMUST00000026459.6	622	11	31212	978	44	15654	275	54	1587
ENSMUSG00000025395	Prim1	ENSMUST00000026461.8	14	6	485	24	10	386	255	77	1251
ENSMUSG00000025396	Hsd17b6	ENSMUST00000219183.2	0	0	0	0	0	1	313	258	951
ENSMUSG00000025400	Tac2	ENSMUST00000179960.8	0	0	0	3	18	24	240	264	348
ENSMUSG00000025401	Myo1a	ENSMUST00000079590.7	0	0	8	3	0	32	224	86	3129
ENSMUSG00000025402	Nab2	ENSMUST00000026469.9	12	4	31	33	8	112	755	252	1575
ENSMUSG00000025403	Shmt2	ENSMUST00000026470.6	117	35	453	209	99	1347	653	124	1512
ENSMUSG00000025404	R3hdm2	ENSMUST00000170336.8	69	0	428	31	11	368	325	278	3036
ENSMUSG00000025405	Inhbc	ENSMUST00000026472.10	0	0	0	0	0	1	768	35	1056
ENSMUSG00000025407	Gli1	ENSMUST00000026474.5	17	10	109	20	30	550	168	556	3333
ENSMUSG00000025408	Ddit3	ENSMUST00000026475.15	0	41	26	10	3	11	200	186	504
ENSMUSG00000025409	Mbd6	ENSMUST00000119078.8	58	21	113	39	14	228	880	398	3009
ENSMUSG00000025410	Dctn2	ENSMUST00000026479.11	324	2	504	155	9	657	466	112	1206
ENSMUSG00000025413	Ttc4	ENSMUST00000026480.13	155	6	197	107	6	194	882	81	1158
ENSMUSG00000025417	Pip4k2c	ENSMUST00000013970.9	517	0	415	192	4	203	2000	44	1263
ENSMUSG00000025418	Bsnd	ENSMUST00000054472.4	0	0	0	0	0	0	1593	242	921
ENSMUSG00000025420	Katnal2	ENSMUST00000126153.8	9	0	59	4	0	11	241	84	1617
ENSMUSG00000025421	Hdhd2	ENSMUST00000097522.11	156	4	251	36	12	85	4596	104	777
ENSMUSG00000025422	Agap2	ENSMUST00000039259.7	2	0	0	4	0	3	1360	715	3558
ENSMUSG00000025423	Pias2	ENSMUST00000114777.10	374	15	771	105	9	795	1009	188	1863
ENSMUSG00000025425	St8sia5	ENSMUST00000079618.11	0	0	13	1	0	0	619	242	1128
ENSMUSG00000025427	Rnf165	ENSMUST00000026494.14	305	0	35	127	0	36	6225	34	1041
ENSMUSG00000025428	Atp5a1	ENSMUST00000026495.15	2252	18	6228	503	77	8986	490	322	1659
ENSMUSG00000025429	Pstpip2	ENSMUST00000114741.4	69	0	13	8	7	14	1092	173	1002
ENSMUSG00000025431	Crisp1	ENSMUST00000026498.5	0	0	8	0	0	3	629	55	732
ENSMUSG00000025432	Avil	ENSMUST00000026500.12	0	0	0	0	0	3	434	142	2457
ENSMUSG00000025433	Crisp3	ENSMUST00000026499.6	0	0	0	0	0	0	639	55	723
ENSMUSG00000025436	Atp23	ENSMUST00000168520.3	16	0	33	14	2	51	245	60	738
ENSMUSG00000025437	Usp33	ENSMUST00000197748.5	287	15	310	60	12	335	1254	202	2727
ENSMUSG00000025439	Clns1a	ENSMUST00000026506.5	565	5	2469	762	23	871	685	96	723
ENSMUSG00000025451	Paip1	ENSMUST00000026520.14	16	0	772	12	11	106	1140	211	1200
ENSMUSG00000025453	Nnt	ENSMUST00000099149.10	71	0	429	25	4	219	812	147	2505
ENSMUSG00000025461	Scart1	ENSMUST00000209637.2	4	0	0	0	0	2	189	54	2967
ENSMUSG00000025464	Paox	ENSMUST00000026537.13	152	0	5	60	8	243	3074	69	1512
ENSMUSG00000025465	Echs1	ENSMUST00000026538.13	654	0	429	158	8	411	605	82	870
ENSMUSG00000025466	Fuom	ENSMUST00000026539.14	15	0	10	9	0	20	176	50	459
ENSMUSG00000025467	Prap1	ENSMUST00000026540.9	0	0	4	0	0	0	107	66	447
ENSMUSG00000025468	Caly	ENSMUST00000026541.15	0	0	0	1	0	2	470	72	678
ENSMUSG00000025469	Msx3	ENSMUST00000172775.4	0	0	0	0	0	0	1369	89	612
ENSMUSG00000025470	Zfp511	ENSMUST00000168194.3	11	0	15	16	1	50	284	42	750
ENSMUSG00000025473	Adam8	ENSMUST00000106069.9	3	0	12	3	0	3	548	91	2478
ENSMUSG00000025474	Tubgcp2	ENSMUST00000026547.9	12	0	278	1	17	452	38	207	2715
ENSMUSG00000025475	Adgra1	ENSMUST00000026548.14	0	0	0	0	0	0	1897	1127	1734
ENSMUSG00000025477	Inpp5a	ENSMUST00000106098.8	92	0	136	120	5	149	1309	281	1236
ENSMUSG00000025478	Dpysl4	ENSMUST00000026551.15	10	0	0	7	1	14	1714	122	1716
ENSMUSG00000025479	Cyp2e1	ENSMUST00000026552.9	5	0	0	766	0	0	242	112	1479
ENSMUSG00000025480	Syce1	ENSMUST00000026553.6	12	4	227	23	2	79	435	38	987
ENSMUSG00000025481	Urah	ENSMUST00000026554.11	46	0	66	37	5	106	194	342	354
ENSMUSG00000025482	Odf3	ENSMUST00000026555.12	0	0	0	0	0	0	225	141	762
ENSMUSG00000025484	Bet1l	ENSMUST00000026557.10	71	0	32	47	10	51	1065	870	333
ENSMUSG00000025485	Ric8a	ENSMUST00000026558.7	78	18	161	71	8	228	1302	514	1590
ENSMUSG00000025486	Sirt3	ENSMUST00000026559.14	6	20	56	36	13	104	396	294	771
ENSMUSG00000025487	Psmd13	ENSMUST00000026560.14	277	10	872	183	94	1506	357	504	1128
ENSMUSG00000025488	Cox8b	ENSMUST00000026561.10	0	0	0	0	0	0	46	104	210
