gene_id_base	gene_name	transcript_id	region	clip_points	region_length	rna_control_reads
ENSMUSG00000027257	Pacsin3	ENSMUST00000111349.9	5utr	0	345	2
ENSMUSG00000027257	Pacsin3	ENSMUST00000111349.9	cds	35	1272	84
ENSMUSG00000027259	Adal	ENSMUST00000066155.6	3utr	123	1115	27
ENSMUSG00000027259	Adal	ENSMUST00000066155.6	5utr	8	103	6
ENSMUSG00000027259	Adal	ENSMUST00000066155.6	cds	146	1080	55
ENSMUSG00000027261	Hao1	ENSMUST00000028704.3	3utr	0	899	0
ENSMUSG00000027261	Hao1	ENSMUST00000028704.3	5utr	0	36	0
ENSMUSG00000027261	Hao1	ENSMUST00000028704.3	cds	0	1110	0
ENSMUSG00000027263	Tubgcp4	ENSMUST00000039541.12	3utr	90	2026	58
ENSMUSG00000027263	Tubgcp4	ENSMUST00000039541.12	5utr	28	179	8
ENSMUSG00000027263	Tubgcp4	ENSMUST00000039541.12	cds	174	2001	180
ENSMUSG00000027270	Lamp5	ENSMUST00000057503.7	3utr	11	729	0
ENSMUSG00000027270	Lamp5	ENSMUST00000057503.7	5utr	0	386	0
ENSMUSG00000027270	Lamp5	ENSMUST00000057503.7	cds	0	840	0
ENSMUSG00000027272	Ubr1	ENSMUST00000028728.6	3utr	434	2384	117
ENSMUSG00000027272	Ubr1	ENSMUST00000028728.6	5utr	7	113	2
ENSMUSG00000027272	Ubr1	ENSMUST00000028728.6	cds	773	5271	472
ENSMUSG00000027273	Snap25	ENSMUST00000028727.11	3utr	0	1288	1
ENSMUSG00000027273	Snap25	ENSMUST00000028727.11	5utr	0	210	0
ENSMUSG00000027273	Snap25	ENSMUST00000028727.11	cds	0	618	2
ENSMUSG00000027274	Mkks	ENSMUST00000110089.9	3utr	21	489	6
ENSMUSG00000027274	Mkks	ENSMUST00000110089.9	5utr	191	979	87
ENSMUSG00000027274	Mkks	ENSMUST00000110089.9	cds	132	1710	77
ENSMUSG00000027276	Jag1	ENSMUST00000028735.8	3utr	336	1571	28
ENSMUSG00000027276	Jag1	ENSMUST00000028735.8	5utr	10	387	1
ENSMUSG00000027276	Jag1	ENSMUST00000028735.8	cds	718	3654	129
ENSMUSG00000027281	Slx4ip	ENSMUST00000099311.9	3utr	226	3625	65
ENSMUSG00000027281	Slx4ip	ENSMUST00000099311.9	5utr	1	225	3
ENSMUSG00000027281	Slx4ip	ENSMUST00000099311.9	cds	188	1239	46
ENSMUSG00000027282	Mtch2	ENSMUST00000136872.8	3utr	464	1543	121
ENSMUSG00000027282	Mtch2	ENSMUST00000136872.8	5utr	7	144	25
ENSMUSG00000027282	Mtch2	ENSMUST00000136872.8	cds	2073	909	1146
ENSMUSG00000027284	Cdan1	ENSMUST00000110701.8	3utr	56	2651	36
ENSMUSG00000027284	Cdan1	ENSMUST00000110701.8	5utr	0	16	0
ENSMUSG00000027284	Cdan1	ENSMUST00000110701.8	cds	164	3717	224
ENSMUSG00000027285	Haus2	ENSMUST00000124187.8	3utr	372	2382	172
ENSMUSG00000027285	Haus2	ENSMUST00000124187.8	5utr	0	70	0
ENSMUSG00000027285	Haus2	ENSMUST00000124187.8	cds	35	702	82
ENSMUSG00000027286	Lrrc57	ENSMUST00000102497.10	3utr	62	982	38
ENSMUSG00000027286	Lrrc57	ENSMUST00000102497.10	5utr	0	263	11
ENSMUSG00000027286	Lrrc57	ENSMUST00000102497.10	cds	37	717	47
ENSMUSG00000027287	Snap23	ENSMUST00000110711.9	3utr	220	1917	87
ENSMUSG00000027287	Snap23	ENSMUST00000110711.9	5utr	7	176	25
ENSMUSG00000027287	Snap23	ENSMUST00000110711.9	cds	228	630	84
ENSMUSG00000027288	Zfp106	ENSMUST00000055241.13	3utr	7577	3269	1489
ENSMUSG00000027288	Zfp106	ENSMUST00000055241.13	5utr	104	152	208
ENSMUSG00000027288	Zfp106	ENSMUST00000055241.13	cds	13477	5664	3677
ENSMUSG00000027291	Vps39	ENSMUST00000028752.8	3utr	72	1576	75
ENSMUSG00000027291	Vps39	ENSMUST00000028752.8	5utr	0	138	8
ENSMUSG00000027291	Vps39	ENSMUST00000028752.8	cds	114	2625	191
ENSMUSG00000027293	Ehd4	ENSMUST00000028755.8	3utr	233	1976	102
ENSMUSG00000027293	Ehd4	ENSMUST00000028755.8	5utr	2	131	8
ENSMUSG00000027293	Ehd4	ENSMUST00000028755.8	cds	93	1623	174
ENSMUSG00000027296	Itpka	ENSMUST00000028758.8	3utr	43	399	19
ENSMUSG00000027296	Itpka	ENSMUST00000028758.8	5utr	0	42	2
ENSMUSG00000027296	Itpka	ENSMUST00000028758.8	cds	66	1377	103
ENSMUSG00000027297	Ltk	ENSMUST00000028759.13	3utr	0	279	0
ENSMUSG00000027297	Ltk	ENSMUST00000028759.13	5utr	0	137	0
ENSMUSG00000027297	Ltk	ENSMUST00000028759.13	cds	1	2664	7
ENSMUSG00000027298	Tyro3	ENSMUST00000028763.10	3utr	401	1073	146
ENSMUSG00000027298	Tyro3	ENSMUST00000028763.10	5utr	0	276	1
ENSMUSG00000027298	Tyro3	ENSMUST00000028763.10	cds	512	2640	487
ENSMUSG00000027300	Ubox5	ENSMUST00000028761.5	3utr	36	1807	21
ENSMUSG00000027300	Ubox5	ENSMUST00000028761.5	5utr	20	307	13
ENSMUSG00000027300	Ubox5	ENSMUST00000028761.5	cds	60	1617	73
ENSMUSG00000027301	Oxt	ENSMUST00000028764.6	3utr	3	125	0
ENSMUSG00000027301	Oxt	ENSMUST00000028764.6	5utr	0	37	0
ENSMUSG00000027301	Oxt	ENSMUST00000028764.6	cds	0	375	0
ENSMUSG00000027303	Ptpra	ENSMUST00000028769.14	3utr	79	2659	10
ENSMUSG00000027303	Ptpra	ENSMUST00000028769.14	5utr	3	287	5
ENSMUSG00000027303	Ptpra	ENSMUST00000028769.14	cds	823	2379	245
ENSMUSG00000027304	Rtf1	ENSMUST00000028767.9	3utr	346	2519	216
ENSMUSG00000027304	Rtf1	ENSMUST00000028767.9	cds	563	2145	304
ENSMUSG00000027305	Ndufaf1	ENSMUST00000028768.2	3utr	4	195	15
ENSMUSG00000027305	Ndufaf1	ENSMUST00000028768.2	5utr	11	266	12
ENSMUSG00000027305	Ndufaf1	ENSMUST00000028768.2	cds	133	990	91
ENSMUSG00000027306	Nusap1	ENSMUST00000068225.15	3utr	841	1174	139
ENSMUSG00000027306	Nusap1	ENSMUST00000068225.15	5utr	72	505	24
ENSMUSG00000027306	Nusap1	ENSMUST00000068225.15	cds	577	1281	361
ENSMUSG00000027309	4930402H24Rik	ENSMUST00000044766.15	3utr	148	3003	69
ENSMUSG00000027309	4930402H24Rik	ENSMUST00000044766.15	5utr	0	88	6
ENSMUSG00000027309	4930402H24Rik	ENSMUST00000044766.15	cds	77	3537	103
ENSMUSG00000027312	Atrn	ENSMUST00000028781.9	3utr	224	4395	50
ENSMUSG00000027312	Atrn	ENSMUST00000028781.9	5utr	0	66	0
ENSMUSG00000027312	Atrn	ENSMUST00000028781.9	cds	355	4284	77
ENSMUSG00000027313	Chac1	ENSMUST00000028780.4	3utr	349	794	18
ENSMUSG00000027313	Chac1	ENSMUST00000028780.4	5utr	2	174	2
ENSMUSG00000027313	Chac1	ENSMUST00000028780.4	cds	329	669	23
ENSMUSG00000027314	Dll4	ENSMUST00000102517.4	3utr	0	1332	0
ENSMUSG00000027314	Dll4	ENSMUST00000102517.4	5utr	0	357	0
ENSMUSG00000027314	Dll4	ENSMUST00000102517.4	cds	0	2058	0
ENSMUSG00000027315	Spint1	ENSMUST00000110817.3	3utr	132	568	39
ENSMUSG00000027315	Spint1	ENSMUST00000110817.3	5utr	0	234	18
ENSMUSG00000027315	Spint1	ENSMUST00000110817.3	cds	345	1521	191
ENSMUSG00000027316	Gfra4	ENSMUST00000028787.12	3utr	0	3	0
ENSMUSG00000027316	Gfra4	ENSMUST00000028787.12	cds	3	906	5
ENSMUSG00000027317	Ppp1r14d	ENSMUST00000076084.6	3utr	0	242	1
ENSMUSG00000027317	Ppp1r14d	ENSMUST00000076084.6	5utr	0	107	4
ENSMUSG00000027317	Ppp1r14d	ENSMUST00000076084.6	cds	0	438	11
ENSMUSG00000027318	Adam33	ENSMUST00000110232.9	3utr	0	474	1
ENSMUSG00000027318	Adam33	ENSMUST00000110232.9	5utr	0	300	0
ENSMUSG00000027318	Adam33	ENSMUST00000110232.9	cds	0	2391	3
ENSMUSG00000027322	Siglec1	ENSMUST00000028794.10	3utr	0	635	0
ENSMUSG00000027322	Siglec1	ENSMUST00000028794.10	5utr	0	649	1
ENSMUSG00000027322	Siglec1	ENSMUST00000028794.10	cds	0	5103	0
ENSMUSG00000027323	Rad51	ENSMUST00000028795.10	3utr	374	2121	192
ENSMUSG00000027323	Rad51	ENSMUST00000028795.10	5utr	19	230	52
ENSMUSG00000027323	Rad51	ENSMUST00000028795.10	cds	467	1017	360
ENSMUSG00000027324	Rpusd2	ENSMUST00000028796.2	3utr	23	1013	40
ENSMUSG00000027324	Rpusd2	ENSMUST00000028796.2	5utr	0	34	1
ENSMUSG00000027324	Rpusd2	ENSMUST00000028796.2	cds	132	1659	132
ENSMUSG00000027326	Knl1	ENSMUST00000028799.12	3utr	0	264	0
ENSMUSG00000027326	Knl1	ENSMUST00000028799.12	5utr	20	427	25
ENSMUSG00000027326	Knl1	ENSMUST00000028799.12	cds	1820	4836	235
ENSMUSG00000027327	1700037H04Rik	ENSMUST00000103188.10	3utr	154	553	152
ENSMUSG00000027327	1700037H04Rik	ENSMUST00000103188.10	5utr	20	166	33
ENSMUSG00000027327	1700037H04Rik	ENSMUST00000103188.10	cds	72	522	192
ENSMUSG00000027329	Spef1	ENSMUST00000110218.9	3utr	3	1370	4
ENSMUSG00000027329	Spef1	ENSMUST00000110218.9	5utr	0	528	5
ENSMUSG00000027329	Spef1	ENSMUST00000110218.9	cds	0	702	0
ENSMUSG00000027330	Cdc25b	ENSMUST00000028804.15	3utr	92	1129	61
ENSMUSG00000027330	Cdc25b	ENSMUST00000028804.15	5utr	1	232	9
ENSMUSG00000027330	Cdc25b	ENSMUST00000028804.15	cds	88	1728	146
ENSMUSG00000027331	Knstrn	ENSMUST00000134661.8	3utr	586	3568	103
ENSMUSG00000027331	Knstrn	ENSMUST00000134661.8	5utr	0	98	0
ENSMUSG00000027331	Knstrn	ENSMUST00000134661.8	cds	383	936	166
ENSMUSG00000027332	Ivd	ENSMUST00000028807.6	3utr	50	2326	55
ENSMUSG00000027332	Ivd	ENSMUST00000028807.6	5utr	0	67	4
ENSMUSG00000027332	Ivd	ENSMUST00000028807.6	cds	84	1272	138
ENSMUSG00000027333	Smox	ENSMUST00000028806.12	3utr	3	306	18
ENSMUSG00000027333	Smox	ENSMUST00000028806.12	5utr	0	299	1
ENSMUSG00000027333	Smox	ENSMUST00000028806.12	cds	54	1665	100
ENSMUSG00000027335	Adra1d	ENSMUST00000103184.4	3utr	0	98	0
ENSMUSG00000027335	Adra1d	ENSMUST00000103184.4	5utr	0	115	0
ENSMUSG00000027335	Adra1d	ENSMUST00000103184.4	cds	0	1686	0
ENSMUSG00000027338	Prnd	ENSMUST00000110172.9	3utr	4	2578	0
ENSMUSG00000027338	Prnd	ENSMUST00000110172.9	5utr	0	61	0
ENSMUSG00000027338	Prnd	ENSMUST00000110172.9	cds	0	537	0
ENSMUSG00000027339	Rassf2	ENSMUST00000028814.15	3utr	129	6972	31
ENSMUSG00000027339	Rassf2	ENSMUST00000028814.15	5utr	10	283	2
ENSMUSG00000027339	Rassf2	ENSMUST00000028814.15	cds	19	978	19
ENSMUSG00000027340	Slc23a2	ENSMUST00000028815.15	3utr	1256	4176	308
ENSMUSG00000027340	Slc23a2	ENSMUST00000028815.15	5utr	39	244	21
ENSMUSG00000027340	Slc23a2	ENSMUST00000028815.15	cds	405	1944	121
ENSMUSG00000027341	Tmem230	ENSMUST00000028816.9	3utr	597	997	113
ENSMUSG00000027341	Tmem230	ENSMUST00000028816.9	5utr	40	255	107
ENSMUSG00000027341	Tmem230	ENSMUST00000028816.9	cds	21	360	119
ENSMUSG00000027342	Pcna	ENSMUST00000028817.7	3utr	803	457	232
ENSMUSG00000027342	Pcna	ENSMUST00000028817.7	5utr	32	278	597
ENSMUSG00000027342	Pcna	ENSMUST00000028817.7	cds	745	783	2639
ENSMUSG00000027344	Fsip1	ENSMUST00000028821.10	3utr	0	200	0
ENSMUSG00000027344	Fsip1	ENSMUST00000028821.10	5utr	7	168	0
ENSMUSG00000027344	Fsip1	ENSMUST00000028821.10	cds	4	1305	4
ENSMUSG00000027346	Gpcpd1	ENSMUST00000060955.12	3utr	6	1474	8
ENSMUSG00000027346	Gpcpd1	ENSMUST00000060955.12	5utr	0	187	3
ENSMUSG00000027346	Gpcpd1	ENSMUST00000060955.12	cds	50	2025	26
ENSMUSG00000027347	Rasgrp1	ENSMUST00000178884.8	3utr	262	2551	43
ENSMUSG00000027347	Rasgrp1	ENSMUST00000178884.8	5utr	0	168	1
ENSMUSG00000027347	Rasgrp1	ENSMUST00000178884.8	cds	87	2385	63
ENSMUSG00000027349	Fam98b	ENSMUST00000028825.5	3utr	657	545	89
ENSMUSG00000027349	Fam98b	ENSMUST00000028825.5	5utr	14	29	4
ENSMUSG00000027349	Fam98b	ENSMUST00000028825.5	cds	271	1287	146
ENSMUSG00000027350	Chgb	ENSMUST00000028826.4	3utr	0	253	0
ENSMUSG00000027350	Chgb	ENSMUST00000028826.4	5utr	0	456	0
ENSMUSG00000027350	Chgb	ENSMUST00000028826.4	cds	0	2031	0
ENSMUSG00000027351	Spred1	ENSMUST00000028829.13	3utr	1422	4333	206
ENSMUSG00000027351	Spred1	ENSMUST00000028829.13	5utr	13	351	15
ENSMUSG00000027351	Spred1	ENSMUST00000028829.13	cds	2110	1332	204
ENSMUSG00000027353	Mcm8	ENSMUST00000066559.6	3utr	3	633	8
ENSMUSG00000027353	Mcm8	ENSMUST00000066559.6	5utr	13	349	23
ENSMUSG00000027353	Mcm8	ENSMUST00000066559.6	cds	144	2415	191
ENSMUSG00000027355	Tmco5	ENSMUST00000028834.3	3utr	0	186	0
ENSMUSG00000027355	Tmco5	ENSMUST00000028834.3	5utr	0	69	0
ENSMUSG00000027355	Tmco5	ENSMUST00000028834.3	cds	0	909	0
ENSMUSG00000027356	Fermt1	ENSMUST00000038280.5	3utr	6	2282	5
ENSMUSG00000027356	Fermt1	ENSMUST00000038280.5	5utr	0	602	1
ENSMUSG00000027356	Fermt1	ENSMUST00000038280.5	cds	3	2031	0
ENSMUSG00000027357	Crls1	ENSMUST00000028835.13	3utr	206	864	38
ENSMUSG00000027357	Crls1	ENSMUST00000028835.13	5utr	21	151	12
ENSMUSG00000027357	Crls1	ENSMUST00000028835.13	cds	152	909	94
ENSMUSG00000027358	Bmp2	ENSMUST00000028836.7	3utr	0	1173	0
ENSMUSG00000027358	Bmp2	ENSMUST00000028836.7	5utr	0	1200	1
ENSMUSG00000027358	Bmp2	ENSMUST00000028836.7	cds	0	1182	0
ENSMUSG00000027359	Slc27a2	ENSMUST00000061491.14	3utr	46	310	5
ENSMUSG00000027359	Slc27a2	ENSMUST00000061491.14	5utr	0	748	6
ENSMUSG00000027359	Slc27a2	ENSMUST00000061491.14	cds	668	1860	111
ENSMUSG00000027360	Hdc	ENSMUST00000028838.5	3utr	0	297	2
ENSMUSG00000027360	Hdc	ENSMUST00000028838.5	5utr	0	109	0
ENSMUSG00000027360	Hdc	ENSMUST00000028838.5	cds	0	1986	1
ENSMUSG00000027361	Gabpb1	ENSMUST00000103227.8	3utr	172	1318	107
ENSMUSG00000027361	Gabpb1	ENSMUST00000103227.8	5utr	6	287	13
ENSMUSG00000027361	Gabpb1	ENSMUST00000103227.8	cds	138	1146	147
ENSMUSG00000027363	Usp8	ENSMUST00000028841.14	3utr	50	694	66
ENSMUSG00000027363	Usp8	ENSMUST00000028841.14	5utr	15	211	33
ENSMUSG00000027363	Usp8	ENSMUST00000028841.14	cds	1004	3240	530
ENSMUSG00000027364	Usp50	ENSMUST00000028842.9	3utr	0	34	0
ENSMUSG00000027364	Usp50	ENSMUST00000028842.9	5utr	0	157	0
ENSMUSG00000027364	Usp50	ENSMUST00000028842.9	cds	14	1170	6
ENSMUSG00000027365	Trpm7	ENSMUST00000103224.10	3utr	545	1264	78
ENSMUSG00000027365	Trpm7	ENSMUST00000103224.10	5utr	8	254	17
ENSMUSG00000027365	Trpm7	ENSMUST00000103224.10	cds	5144	5589	632
ENSMUSG00000027366	Sppl2a	ENSMUST00000028844.11	3utr	213	3824	22
ENSMUSG00000027366	Sppl2a	ENSMUST00000028844.11	5utr	0	223	1
ENSMUSG00000027366	Sppl2a	ENSMUST00000028844.11	cds	555	1569	60
ENSMUSG00000027367	Stard7	ENSMUST00000110375.9	3utr	344	1644	238
ENSMUSG00000027367	Stard7	ENSMUST00000110375.9	5utr	5	353	26
ENSMUSG00000027367	Stard7	ENSMUST00000110375.9	cds	295	1119	207
ENSMUSG00000027368	Dusp2	ENSMUST00000028846.7	3utr	7	584	0
ENSMUSG00000027368	Dusp2	ENSMUST00000028846.7	5utr	0	79	0
ENSMUSG00000027368	Dusp2	ENSMUST00000028846.7	cds	9	954	0
ENSMUSG00000027371	Fahd2a	ENSMUST00000028848.4	3utr	0	132	4
ENSMUSG00000027371	Fahd2a	ENSMUST00000028848.4	5utr	0	140	1
ENSMUSG00000027371	Fahd2a	ENSMUST00000028848.4	cds	19	939	20
ENSMUSG00000027374	Mrps5	ENSMUST00000028852.13	3utr	146	2979	159
ENSMUSG00000027374	Mrps5	ENSMUST00000028852.13	5utr	1	206	21
ENSMUSG00000027374	Mrps5	ENSMUST00000028852.13	cds	519	1296	701
ENSMUSG00000027375	Mal	ENSMUST00000028854.15	3utr	7	1757	0
ENSMUSG00000027375	Mal	ENSMUST00000028854.15	5utr	0	562	0
ENSMUSG00000027375	Mal	ENSMUST00000028854.15	cds	0	459	0
ENSMUSG00000027376	Prom2	ENSMUST00000028855.14	3utr	0	2144	4
ENSMUSG00000027376	Prom2	ENSMUST00000028855.14	5utr	0	147	0
ENSMUSG00000027376	Prom2	ENSMUST00000028855.14	cds	9	2505	2
ENSMUSG00000027377	Mall	ENSMUST00000028856.3	3utr	14	1478	3
ENSMUSG00000027377	Mall	ENSMUST00000028856.3	5utr	0	66	0
ENSMUSG00000027377	Mall	ENSMUST00000028856.3	cds	0	462	0
ENSMUSG00000027378	Nphp1	ENSMUST00000028857.14	3utr	7	187	5
ENSMUSG00000027378	Nphp1	ENSMUST00000028857.14	cds	272	2073	61
ENSMUSG00000027379	Bub1	ENSMUST00000028858.8	3utr	8	124	6
ENSMUSG00000027379	Bub1	ENSMUST00000028858.8	5utr	37	120	30
ENSMUSG00000027379	Bub1	ENSMUST00000028858.8	cds	1111	3177	782
ENSMUSG00000027380	Acoxl	ENSMUST00000028859.8	3utr	0	740	5
ENSMUSG00000027380	Acoxl	ENSMUST00000028859.8	5utr	5	206	0
ENSMUSG00000027380	Acoxl	ENSMUST00000028859.8	cds	12	1896	9
ENSMUSG00000027381	Bcl2l11	ENSMUST00000110341.9	3utr	241	4221	148
ENSMUSG00000027381	Bcl2l11	ENSMUST00000110341.9	5utr	0	227	13
ENSMUSG00000027381	Bcl2l11	ENSMUST00000110341.9	cds	103	588	24
ENSMUSG00000027384	Ndufaf5	ENSMUST00000044825.5	3utr	0	74	0
ENSMUSG00000027384	Ndufaf5	ENSMUST00000044825.5	5utr	0	63	1
ENSMUSG00000027384	Ndufaf5	ENSMUST00000044825.5	cds	303	1029	105
ENSMUSG00000027386	Fbln7	ENSMUST00000028864.3	3utr	4	1444	0
ENSMUSG00000027386	Fbln7	ENSMUST00000028864.3	5utr	0	141	0
ENSMUSG00000027386	Fbln7	ENSMUST00000028864.3	cds	0	1320	4
ENSMUSG00000027387	Zc3h8	ENSMUST00000028866.9	3utr	35	556	39
ENSMUSG00000027387	Zc3h8	ENSMUST00000028866.9	5utr	0	153	6
ENSMUSG00000027387	Zc3h8	ENSMUST00000028866.9	cds	147	915	70
ENSMUSG00000027394	Ttl	ENSMUST00000035812.14	3utr	135	3231	58
ENSMUSG00000027394	Ttl	ENSMUST00000035812.14	5utr	0	205	5
ENSMUSG00000027394	Ttl	ENSMUST00000035812.14	cds	101	1131	39
ENSMUSG00000027395	Polr1b	ENSMUST00000103205.11	3utr	128	501	104
ENSMUSG00000027395	Polr1b	ENSMUST00000103205.11	5utr	5	92	29
ENSMUSG00000027395	Polr1b	ENSMUST00000103205.11	cds	564	3405	1260
ENSMUSG00000027397	Slc20a1	ENSMUST00000028880.10	3utr	570	774	284
ENSMUSG00000027397	Slc20a1	ENSMUST00000028880.10	5utr	82	499	210
ENSMUSG00000027397	Slc20a1	ENSMUST00000028880.10	cds	2713	2043	1040
ENSMUSG00000027398	Il1b	ENSMUST00000028881.14	3utr	0	462	0
ENSMUSG00000027398	Il1b	ENSMUST00000028881.14	5utr	0	87	0
ENSMUSG00000027398	Il1b	ENSMUST00000028881.14	cds	0	807	0
ENSMUSG00000027399	Il1a	ENSMUST00000028882.2	3utr	0	1104	0
ENSMUSG00000027399	Il1a	ENSMUST00000028882.2	5utr	0	60	0
ENSMUSG00000027399	Il1a	ENSMUST00000028882.2	cds	0	810	0
ENSMUSG00000027400	Pdyn	ENSMUST00000028883.12	3utr	33	1439	13
ENSMUSG00000027400	Pdyn	ENSMUST00000028883.12	5utr	0	203	1
ENSMUSG00000027400	Pdyn	ENSMUST00000028883.12	cds	6	744	7
ENSMUSG00000027401	Tgm3	ENSMUST00000110299.3	3utr	0	2002	18
ENSMUSG00000027401	Tgm3	ENSMUST00000110299.3	5utr	0	54	0
ENSMUSG00000027401	Tgm3	ENSMUST00000110299.3	cds	103	2079	80
ENSMUSG00000027403	Tgm6	ENSMUST00000028888.5	3utr	0	1122	0
ENSMUSG00000027403	Tgm6	ENSMUST00000028888.5	5utr	0	87	0
ENSMUSG00000027403	Tgm6	ENSMUST00000028888.5	cds	0	2118	0
ENSMUSG00000027404	Snrpb	ENSMUST00000103199.9	3utr	254	301	227
ENSMUSG00000027404	Snrpb	ENSMUST00000103199.9	5utr	79	167	116
ENSMUSG00000027404	Snrpb	ENSMUST00000103199.9	cds	1532	693	1003
ENSMUSG00000027405	Nop56	ENSMUST00000103198.11	3utr	399	93	108
ENSMUSG00000027405	Nop56	ENSMUST00000103198.11	5utr	3	44	28
ENSMUSG00000027405	Nop56	ENSMUST00000103198.11	cds	2156	1740	2390
ENSMUSG00000027406	Idh3b	ENSMUST00000028892.11	3utr	114	334	101
ENSMUSG00000027406	Idh3b	ENSMUST00000028892.11	5utr	3	130	2
ENSMUSG00000027406	Idh3b	ENSMUST00000028892.11	cds	805	1152	696
ENSMUSG00000027408	Cpxm1	ENSMUST00000028897.8	3utr	0	132	3
ENSMUSG00000027408	Cpxm1	ENSMUST00000028897.8	5utr	3	68	2
ENSMUSG00000027408	Cpxm1	ENSMUST00000028897.8	cds	510	2166	113
ENSMUSG00000027409	1700020A23Rik	ENSMUST00000028898.5	3utr	0	59	0
ENSMUSG00000027409	1700020A23Rik	ENSMUST00000028898.5	5utr	0	260	0
ENSMUSG00000027409	1700020A23Rik	ENSMUST00000028898.5	cds	0	393	0
ENSMUSG00000027411	Vps16	ENSMUST00000028900.11	3utr	1	614	10
ENSMUSG00000027411	Vps16	ENSMUST00000028900.11	5utr	0	30	17
ENSMUSG00000027411	Vps16	ENSMUST00000028900.11	cds	232	2517	723
ENSMUSG00000027412	Lpin3	ENSMUST00000109456.9	3utr	0	598	22
ENSMUSG00000027412	Lpin3	ENSMUST00000109456.9	5utr	7	328	7
ENSMUSG00000027412	Lpin3	ENSMUST00000109456.9	cds	88	2544	108
ENSMUSG00000027416	Otor	ENSMUST00000028902.3	3utr	0	538	0
ENSMUSG00000027416	Otor	ENSMUST00000028902.3	5utr	0	27	0
ENSMUSG00000027416	Otor	ENSMUST00000028902.3	cds	0	384	0
ENSMUSG00000027419	Pcsk2	ENSMUST00000028905.10	3utr	0	2477	0
ENSMUSG00000027419	Pcsk2	ENSMUST00000028905.10	5utr	0	335	0
ENSMUSG00000027419	Pcsk2	ENSMUST00000028905.10	cds	4	1911	0
ENSMUSG00000027420	Bfsp1	ENSMUST00000028907.14	3utr	0	141	0
ENSMUSG00000027420	Bfsp1	ENSMUST00000028907.14	5utr	0	242	0
ENSMUSG00000027420	Bfsp1	ENSMUST00000028907.14	cds	82	1989	7
ENSMUSG00000027422	Rrbp1	ENSMUST00000037875.6	3utr	24	312	2
ENSMUSG00000027422	Rrbp1	ENSMUST00000037875.6	5utr	4	286	32
ENSMUSG00000027422	Rrbp1	ENSMUST00000037875.6	cds	4011	2103	250
ENSMUSG00000027423	Snx5	ENSMUST00000110030.10	3utr	615	1062	389
ENSMUSG00000027423	Snx5	ENSMUST00000110030.10	5utr	20	238	55
ENSMUSG00000027423	Snx5	ENSMUST00000110030.10	cds	3092	1212	1575
ENSMUSG00000027424	Mgme1	ENSMUST00000028910.9	3utr	282	1588	102
ENSMUSG00000027424	Mgme1	ENSMUST00000028910.9	5utr	427	238	18
ENSMUSG00000027424	Mgme1	ENSMUST00000028910.9	cds	276	1014	140
ENSMUSG00000027425	Kat14	ENSMUST00000028911.15	3utr	68	883	89
ENSMUSG00000027425	Kat14	ENSMUST00000028911.15	5utr	277	581	82
ENSMUSG00000027425	Kat14	ENSMUST00000028911.15	cds	469	2337	298
ENSMUSG00000027427	Polr3f	ENSMUST00000028914.9	3utr	404	3309	135
ENSMUSG00000027427	Polr3f	ENSMUST00000028914.9	5utr	9	146	8
ENSMUSG00000027427	Polr3f	ENSMUST00000028914.9	cds	141	948	96
ENSMUSG00000027428	Rbbp9	ENSMUST00000028915.6	3utr	266	1521	92
ENSMUSG00000027428	Rbbp9	ENSMUST00000028915.6	5utr	0	91	1
ENSMUSG00000027428	Rbbp9	ENSMUST00000028915.6	cds	50	558	88
ENSMUSG00000027429	Sec23b	ENSMUST00000028916.15	3utr	30	377	71
ENSMUSG00000027429	Sec23b	ENSMUST00000028916.15	5utr	1	101	32
ENSMUSG00000027429	Sec23b	ENSMUST00000028916.15	cds	400	2301	849
ENSMUSG00000027430	Dtd1	ENSMUST00000028917.7	3utr	99	571	55
ENSMUSG00000027430	Dtd1	ENSMUST00000028917.7	5utr	7	152	10
ENSMUSG00000027430	Dtd1	ENSMUST00000028917.7	cds	109	627	105
ENSMUSG00000027431	Scp2d1	ENSMUST00000028918.4	3utr	0	205	0
ENSMUSG00000027431	Scp2d1	ENSMUST00000028918.4	5utr	0	87	0
ENSMUSG00000027431	Scp2d1	ENSMUST00000028918.4	cds	0	468	0
ENSMUSG00000027433	Xrn2	ENSMUST00000028921.6	3utr	80	455	77
ENSMUSG00000027433	Xrn2	ENSMUST00000028921.6	5utr	0	126	20
ENSMUSG00000027433	Xrn2	ENSMUST00000028921.6	cds	1852	2853	1037
ENSMUSG00000027434	Nkx2-2	ENSMUST00000067075.7	3utr	4	915	0
ENSMUSG00000027434	Nkx2-2	ENSMUST00000067075.7	5utr	0	386	0
ENSMUSG00000027434	Nkx2-2	ENSMUST00000067075.7	cds	0	819	0
ENSMUSG00000027435	Cd93	ENSMUST00000099269.4	3utr	9	4606	2
ENSMUSG00000027435	Cd93	ENSMUST00000099269.4	5utr	0	139	0
ENSMUSG00000027435	Cd93	ENSMUST00000099269.4	cds	0	1932	0
ENSMUSG00000027438	Napb	ENSMUST00000028926.13	3utr	21	3414	30
ENSMUSG00000027438	Napb	ENSMUST00000028926.13	5utr	0	104	0
ENSMUSG00000027438	Napb	ENSMUST00000028926.13	cds	4	894	6
ENSMUSG00000027439	Gzf1	ENSMUST00000028928.8	3utr	129	1904	54
