gene_id	gene_id_base	gene_name	transcript_id	chrom	strand	transcript_length	cds_length	utr_length	selection_score
ENSMUSG00000116165.2	ENSMUSG00000116165	Pdxp	ENSMUST00000089378.5	chr15	+	2001	876	1125	1|1|1|1|876|2001
ENSMUSG00000116336.3	ENSMUSG00000116336	Gm49425	ENSMUST00000230067.3	chr15	-	2359	1521	838	0|1|0|1|1521|2359
ENSMUSG00000116358.2	ENSMUSG00000116358	Gm49450	ENSMUST00000134214.3	chr15	-	899	801	98	0|1|0|1|801|899
ENSMUSG00000116376.2	ENSMUSG00000116376	Tmem249	ENSMUST00000230604.2	chr15	-	945	513	432	0|1|0|1|513|945
ENSMUSG00000116378.2	ENSMUSG00000116378	Gcat	ENSMUST00000171999.9	chr15	+	1736	1146	590	1|1|1|1|1146|1736
ENSMUSG00000118670.1	ENSMUSG00000118670	Muc19	ENSMUST00000239545.1	chr15	+	22800	22572	228	0|1|0|1|22572|22800
ENSMUSG00000118671.1	ENSMUSG00000118671	Eppk1	ENSMUST00000239552.1	chr15	-	12332	10374	1958	0|1|0|1|10374|12332
ENSMUSG00000000028.16	ENSMUSG00000000028	Cdc45	ENSMUST00000000028.14	chr16	-	2143	1698	445	1|1|1|1|1698|2143
ENSMUSG00000000157.17	ENSMUSG00000000157	Itgb2l	ENSMUST00000000161.14	chr16	-	2633	2214	419	1|1|1|1|2214|2633
ENSMUSG00000000159.17	ENSMUSG00000000159	Igsf5	ENSMUST00000081093.10	chr16	+	1554	810	744	1|1|1|1|810|1554
ENSMUSG00000000326.14	ENSMUSG00000000326	Comt	ENSMUST00000115609.10	chr16	-	1866	795	1071	1|1|1|1|795|1866
ENSMUSG00000000385.9	ENSMUSG00000000385	Tmprss2	ENSMUST00000000395.8	chr16	-	3161	1470	1691	1|1|1|1|1470|3161
ENSMUSG00000000884.18	ENSMUSG00000000884	Gnb1l	ENSMUST00000090086.11	chr16	+	3549	978	2571	1|1|1|1|978|3549
ENSMUSG00000002489.17	ENSMUSG00000002489	Tiam1	ENSMUST00000002588.11	chr16	-	7289	4773	2516	1|1|1|1|4773|7289
ENSMUSG00000002844.10	ENSMUSG00000002844	Adprh	ENSMUST00000002923.10	chr16	-	2966	1086	1880	1|1|1|1|1086|2966
ENSMUSG00000002845.15	ENSMUSG00000002845	Tmem39a	ENSMUST00000002924.15	chr16	+	2871	1458	1413	1|1|1|1|1458|2871
ENSMUSG00000002846.10	ENSMUSG00000002846	Timmdc1	ENSMUST00000002925.6	chr16	-	1573	855	718	1|1|1|1|855|1573
ENSMUSG00000002847.8	ENSMUSG00000002847	Pla1a	ENSMUST00000002926.8	chr16	-	1974	1368	606	1|1|1|1|1368|1974
ENSMUSG00000003166.21	ENSMUSG00000003166	Dgcr2	ENSMUST00000012152.13	chr16	-	4045	1647	2398	1|1|1|1|1647|4045
ENSMUSG00000003233.13	ENSMUSG00000003233	Dvl3	ENSMUST00000003318.13	chr16	+	2519	2148	371	1|1|1|1|2148|2519
ENSMUSG00000003234.17	ENSMUSG00000003234	Abcf3	ENSMUST00000003319.6	chr16	+	3090	2127	963	1|1|1|1|2127|3090
ENSMUSG00000003235.14	ENSMUSG00000003235	Eif2b5	ENSMUST00000003320.14	chr16	+	2554	2151	403	1|1|1|1|2151|2554
ENSMUSG00000003526.13	ENSMUSG00000003526	Prodh	ENSMUST00000003620.13	chr16	-	2386	1797	589	1|1|1|1|1797|2386
ENSMUSG00000003527.10	ENSMUSG00000003527	Ess2	ENSMUST00000003621.10	chr16	-	2821	1440	1381	1|1|1|1|1440|2821
ENSMUSG00000003528.16	ENSMUSG00000003528	Slc25a1	ENSMUST00000003622.16	chr16	-	1666	933	733	1|1|1|1|933|1666
ENSMUSG00000003531.16	ENSMUSG00000003531	Dgcr6	ENSMUST00000151266.8	chr16	+	1086	594	492	1|0|1|1|594|1086
ENSMUSG00000003955.9	ENSMUSG00000003955	Fam162a	ENSMUST00000004057.9	chr16	-	718	465	253	1|1|1|1|465|718
ENSMUSG00000004069.18	ENSMUSG00000004069	Dnaja3	ENSMUST00000060067.12	chr16	+	2648	1440	1208	1|1|1|1|1440|2648
ENSMUSG00000004070.16	ENSMUSG00000004070	Hmox2	ENSMUST00000004172.15	chr16	+	1730	945	785	1|1|1|1|945|1730
ENSMUSG00000004071.14	ENSMUSG00000004071	Cdip1	ENSMUST00000004173.12	chr16	-	3953	624	3329	1|1|1|1|624|3953
ENSMUSG00000004366.5	ENSMUSG00000004366	Sst	ENSMUST00000004480.5	chr16	-	721	348	373	1|1|1|1|348|721
ENSMUSG00000004460.18	ENSMUSG00000004460	Dnajb11	ENSMUST00000166487.10	chr16	+	2513	1074	1439	1|1|1|1|1074|2513
ENSMUSG00000004462.8	ENSMUSG00000004462	Tbccd1	ENSMUST00000004576.8	chr16	-	2803	1656	1147	1|1|1|1|1656|2803
ENSMUSG00000004842.19	ENSMUSG00000004842	Pou1f1	ENSMUST00000176330.8	chr16	+	1310	873	437	1|1|1|1|873|1310
ENSMUSG00000004843.8	ENSMUSG00000004843	Chmp2b	ENSMUST00000004965.8	chr16	-	1872	639	1233	1|1|1|1|639|1872
ENSMUSG00000005251.16	ENSMUSG00000005251	Ripk4	ENSMUST00000019386.10	chr16	-	3591	2358	1233	1|1|1|1|2358|3591
ENSMUSG00000005262.14	ENSMUSG00000005262	Ufd1	ENSMUST00000005394.13	chr16	+	1996	921	1075	1|1|1|1|921|1996
ENSMUSG00000005580.12	ENSMUSG00000005580	Adcy9	ENSMUST00000117801.8	chr16	-	4507	4059	448	1|1|1|1|4059|4507
ENSMUSG00000005615.16	ENSMUSG00000005615	Pcyt1a	ENSMUST00000079791.11	chr16	+	4789	1101	3688	1|1|1|1|1101|4789
ENSMUSG00000005718.9	ENSMUSG00000005718	Tfap4	ENSMUST00000005862.9	chr16	-	2247	1014	1233	1|1|1|1|1014|2247
ENSMUSG00000005732.15	ENSMUSG00000005732	Ranbp1	ENSMUST00000115645.10	chr16	-	1085	609	476	1|1|1|1|609|1085
ENSMUSG00000005846.13	ENSMUSG00000005846	Rsl1d1	ENSMUST00000119953.2	chr16	-	1945	1356	589	1|1|1|1|1356|1945
ENSMUSG00000005899.15	ENSMUSG00000005899	Smpd4	ENSMUST00000006053.13	chr16	+	4623	2469	2154	1|1|1|1|2469|4623
ENSMUSG00000005958.16	ENSMUSG00000005958	Ephb3	ENSMUST00000006112.7	chr16	+	4185	2979	1206	1|1|1|1|2979|4185
ENSMUSG00000005980.16	ENSMUSG00000005980	Dnase1	ENSMUST00000006136.11	chr16	+	1480	852	628	1|1|1|1|852|1480
ENSMUSG00000005981.12	ENSMUSG00000005981	Trap1	ENSMUST00000006137.9	chr16	-	2320	2118	202	1|1|1|1|2118|2320
ENSMUSG00000005982.15	ENSMUSG00000005982	Naa60	ENSMUST00000186375.8	chr16	+	2350	726	1624	1|1|1|1|726|2350
ENSMUSG00000005983.16	ENSMUSG00000005983	1700037C18Rik	ENSMUST00000115859.8	chr16	-	2592	513	2079	1|1|1|1|513|2592
ENSMUSG00000006134.5	ENSMUSG00000006134	Crkl	ENSMUST00000006293.5	chr16	+	5042	909	4133	1|1|1|1|909|5042
ENSMUSG00000006958.15	ENSMUSG00000006958	Chrd	ENSMUST00000007171.13	chr16	+	3275	2844	431	1|1|1|1|2844|3275
ENSMUSG00000006998.17	ENSMUSG00000006998	Psmd2	ENSMUST00000007212.9	chr16	+	2961	2724	237	1|1|1|1|2724|2961
ENSMUSG00000008393.10	ENSMUSG00000008393	Carhsp1	ENSMUST00000008537.10	chr16	-	2858	444	2414	1|1|1|1|444|2858
ENSMUSG00000008658.17	ENSMUSG00000008658	Rbfox1	ENSMUST00000056416.9	chr16	+	3061	1188	1873	1|0|1|1|1188|3061
ENSMUSG00000008976.17	ENSMUSG00000008976	Gabpa	ENSMUST00000009120.8	chr16	+	4987	1362	3625	1|1|1|1|1362|4987
ENSMUSG00000009047.5	ENSMUSG00000009047	Gm5965	ENSMUST00000238221.2	chr16	+	833	648	185	0|1|0|1|648|833
ENSMUSG00000009097.11	ENSMUSG00000009097	Tbx1	ENSMUST00000009241.7	chr16	-	1858	1437	421	1|0|0|1|1437|1858
ENSMUSG00000009569.15	ENSMUSG00000009569	Mrtfb	ENSMUST00000149359.2	chr16	+	8295	3240	5055	1|1|1|1|3240|8295
ENSMUSG00000012017.5	ENSMUSG00000012017	Scarf2	ENSMUST00000012161.5	chr16	+	3308	2499	809	1|1|1|1|2499|3308
ENSMUSG00000012114.18	ENSMUSG00000012114	Med15	ENSMUST00000012259.9	chr16	-	3410	2367	1043	1|1|1|1|2367|3410
ENSMUSG00000013089.16	ENSMUSG00000013089	Etv5	ENSMUST00000079601.13	chr16	-	3975	1530	2445	1|1|1|1|1530|3975
ENSMUSG00000013539.15	ENSMUSG00000013539	Tango2	ENSMUST00000115628.10	chr16	-	1622	828	794	1|1|1|1|828|1622
ENSMUSG00000014039.19	ENSMUSG00000014039	Prdm15	ENSMUST00000121584.8	chr16	-	6194	3444	2750	1|0|0|1|3444|6194
ENSMUSG00000014074.18	ENSMUSG00000014074	Rnf168	ENSMUST00000171474.2	chr16	+	4460	1701	2759	1|1|1|1|1701|4460
ENSMUSG00000014075.16	ENSMUSG00000014075	Dynlt2b	ENSMUST00000014220.15	chr16	+	838	432	406	1|1|1|1|432|838
ENSMUSG00000014232.15	ENSMUSG00000014232	Cluap1	ENSMUST00000040881.14	chr16	+	1779	1239	540	1|1|1|1|1239|1779
ENSMUSG00000014301.14	ENSMUSG00000014301	Pam16	ENSMUST00000014445.7	chr16	-	596	375	221	1|1|1|1|375|596
ENSMUSG00000014303.14	ENSMUSG00000014303	Glis2	ENSMUST00000014447.13	chr16	+	3619	1563	2056	1|1|1|1|1563|3619
ENSMUSG00000018830.11	ENSMUSG00000018830	Myh11	ENSMUST00000090287.5	chr16	-	6549	5916	633	1|0|0|1|5916|6549
ENSMUSG00000021018.9	ENSMUSG00000021018	Polr2h	ENSMUST00000021405.8	chr16	+	950	450	500	1|1|1|1|450|950
ENSMUSG00000022494.16	ENSMUSG00000022494	Shisa9	ENSMUST00000170672.9	chr16	+	3421	1272	2149	1|1|1|1|1272|3421
ENSMUSG00000022496.6	ENSMUSG00000022496	Tnfrsf17	ENSMUST00000023140.6	chr16	+	815	555	260	1|1|1|1|555|815
ENSMUSG00000022498.17	ENSMUSG00000022498	Txndc11	ENSMUST00000038424.14	chr16	-	3095	2844	251	1|1|1|1|2844|3095
ENSMUSG00000022500.16	ENSMUSG00000022500	Litaf	ENSMUST00000023143.14	chr16	-	2235	483	1752	1|1|1|1|483|2235
ENSMUSG00000022501.7	ENSMUSG00000022501	Prm1	ENSMUST00000023144.6	chr16	-	469	153	316	1|1|1|1|153|469
ENSMUSG00000022503.11	ENSMUSG00000022503	Nubp1	ENSMUST00000023146.5	chr16	+	2121	960	1161	1|1|1|1|960|2121
ENSMUSG00000022504.11	ENSMUSG00000022504	Ciita	ENSMUST00000023147.8	chr16	+	6007	3234	2773	1|1|1|1|3234|6007
ENSMUSG00000022505.10	ENSMUSG00000022505	Emp2	ENSMUST00000078357.5	chr16	-	3440	516	2924	1|1|1|1|516|3440
ENSMUSG00000022507.7	ENSMUSG00000022507	1810013L24Rik	ENSMUST00000023150.7	chr16	+	4072	825	3247	1|1|1|1|825|4072
ENSMUSG00000022508.6	ENSMUSG00000022508	Bcl6	ENSMUST00000023151.6	chr16	-	3525	2121	1404	1|1|1|1|2121|3525
ENSMUSG00000022510.15	ENSMUSG00000022510	Trp63	ENSMUST00000040231.13	chr16	+	4703	1758	2945	1|1|1|1|1758|4703
ENSMUSG00000022512.4	ENSMUSG00000022512	Cldn1	ENSMUST00000023154.3	chr16	-	3247	633	2614	1|1|1|1|633|3247
ENSMUSG00000022514.15	ENSMUSG00000022514	Il1rap	ENSMUST00000023156.13	chr16	+	4520	1710	2810	1|1|1|1|1710|4520
ENSMUSG00000022515.7	ENSMUSG00000022515	Anks3	ENSMUST00000023157.6	chr16	-	2398	1965	433	1|1|1|1|1965|2398
ENSMUSG00000022516.11	ENSMUSG00000022516	Nudt16l1	ENSMUST00000050881.10	chr16	+	1329	453	876	1|0|0|1|453|1329
ENSMUSG00000022517.18	ENSMUSG00000022517	Mgrn1	ENSMUST00000070658.16	chr16	+	3138	1596	1542	1|1|1|1|1596|3138
ENSMUSG00000022518.17	ENSMUSG00000022518	4930562C15Rik	ENSMUST00000100211.11	chr16	+	3824	3435	389	0|1|0|1|3435|3824
ENSMUSG00000022519.15	ENSMUSG00000022519	Srl	ENSMUST00000090500.10	chr16	-	3698	1416	2282	1|1|1|1|1416|3698
ENSMUSG00000022521.11	ENSMUSG00000022521	Crebbp	ENSMUST00000023165.9	chr16	-	10820	7323	3497	1|1|1|1|7323|10820
ENSMUSG00000022523.11	ENSMUSG00000022523	Fgf12	ENSMUST00000100024.3	chr16	-	4137	729	3408	1|1|1|1|729|4137
ENSMUSG00000022525.14	ENSMUSG00000022525	Plaat1	ENSMUST00000089824.11	chr16	+	2916	501	2415	1|1|1|1|501|2916
ENSMUSG00000022528.9	ENSMUSG00000022528	Hes1	ENSMUST00000023171.8	chr16	+	1468	846	622	1|1|1|1|846|1468
ENSMUSG00000022529.12	ENSMUSG00000022529	Zfp263	ENSMUST00000023176.5	chr16	+	3241	2040	1201	1|1|1|1|2040|3241
ENSMUSG00000022533.15	ENSMUSG00000022533	Atp13a3	ENSMUST00000100013.9	chr16	-	7310	3747	3563	0|1|1|1|3747|7310
ENSMUSG00000022534.15	ENSMUSG00000022534	Mefv	ENSMUST00000023180.15	chr16	-	3096	2301	795	1|1|1|1|2301|3096
ENSMUSG00000022536.15	ENSMUSG00000022536	Glyr1	ENSMUST00000115844.3	chr16	-	3292	1656	1636	1|1|1|1|1656|3292
ENSMUSG00000022537.19	ENSMUSG00000022537	Tmem44	ENSMUST00000140402.8	chr16	-	2405	1299	1106	1|1|1|1|1299|2405
ENSMUSG00000022538.21	ENSMUSG00000022538	Lsg1	ENSMUST00000117363.9	chr16	-	3180	1932	1248	1|1|1|1|1932|3180
ENSMUSG00000022540.17	ENSMUSG00000022540	Rogdi	ENSMUST00000202281.4	chr16	-	1355	861	494	1|1|1|1|861|1355
ENSMUSG00000022542.8	ENSMUSG00000022542	Septin12	ENSMUST00000170323.3	chr16	-	2576	951	1625	1|0|1|1|951|2576
ENSMUSG00000022544.15	ENSMUSG00000022544	Eef2kmt	ENSMUST00000064635.12	chr16	-	2170	1005	1165	1|1|1|1|1005|2170
ENSMUSG00000022545.14	ENSMUSG00000022545	Ercc4	ENSMUST00000023206.14	chr16	+	3480	2751	729	1|1|1|1|2751|3480
ENSMUSG00000022548.15	ENSMUSG00000022548	Apod	ENSMUST00000130560.8	chr16	-	2074	567	1507	1|1|1|1|567|2074
ENSMUSG00000022601.12	ENSMUSG00000022601	Zbtb11	ENSMUST00000050248.9	chr16	+	4920	3150	1770	0|1|1|1|3150|4920
ENSMUSG00000022604.19	ENSMUSG00000022604	Cep97	ENSMUST00000023270.14	chr16	-	7911	2568	5343	1|1|1|1|2568|7911
ENSMUSG00000022636.14	ENSMUSG00000022636	Alcam	ENSMUST00000023312.14	chr16	-	6036	1749	4287	1|1|1|1|1749|6036
ENSMUSG00000022637.12	ENSMUSG00000022637	Cblb	ENSMUST00000114471.3	chr16	+	6648	2814	3834	1|1|1|1|2814|6648
ENSMUSG00000022641.16	ENSMUSG00000022641	Bbx	ENSMUST00000138166.8	chr16	-	8743	2721	6022	1|1|1|1|2721|8743
ENSMUSG00000022650.8	ENSMUSG00000022650	Retnlb	ENSMUST00000023328.8	chr16	+	696	315	381	1|1|1|1|315|696
ENSMUSG00000022651.7	ENSMUSG00000022651	Retnlg	ENSMUST00000065666.6	chr16	+	593	351	242	1|1|1|1|351|593
ENSMUSG00000022652.8	ENSMUSG00000022652	Morc1	ENSMUST00000023330.8	chr16	+	3045	2850	195	1|1|1|1|2850|3045
ENSMUSG00000022656.16	ENSMUSG00000022656	Nectin3	ENSMUST00000023334.15	chr16	-	3062	1647	1415	1|1|1|1|1647|3062
ENSMUSG00000022657.10	ENSMUSG00000022657	Cd96	ENSMUST00000023336.10	chr16	-	2184	1806	378	1|1|1|1|1806|2184
ENSMUSG00000022658.11	ENSMUSG00000022658	Tagln3	ENSMUST00000096057.5	chr16	-	1240	597	643	1|1|1|1|597|1240
ENSMUSG00000022659.14	ENSMUSG00000022659	Gcsam	ENSMUST00000023339.5	chr16	+	3315	477	2838	1|1|1|1|477|3315
ENSMUSG00000022661.15	ENSMUSG00000022661	Cd200	ENSMUST00000163230.8	chr16	-	2347	834	1513	1|1|1|1|834|2347
ENSMUSG00000022663.4	ENSMUSG00000022663	Atg3	ENSMUST00000023343.4	chr16	+	2057	942	1115	1|1|1|1|942|2057
ENSMUSG00000022664.12	ENSMUSG00000022664	Slc35a5	ENSMUST00000023344.10	chr16	-	4233	1311	2922	1|1|1|1|1311|4233
ENSMUSG00000022665.16	ENSMUSG00000022665	Ccdc80	ENSMUST00000099498.10	chr16	+	4083	2847	1236	1|1|1|1|2847|4083
ENSMUSG00000022667.19	ENSMUSG00000022667	Cd200r1	ENSMUST00000057488.15	chr16	+	1892	978	914	1|1|1|1|978|1892
ENSMUSG00000022668.11	ENSMUSG00000022668	Gtpbp8	ENSMUST00000162512.8	chr16	-	3415	855	2560	1|1|1|1|855|3415
ENSMUSG00000022671.14	ENSMUSG00000022671	Mzt2	ENSMUST00000023351.11	chr16	-	1035	477	558	1|1|1|1|477|1035
ENSMUSG00000022672.9	ENSMUSG00000022672	Prkdc	ENSMUST00000023352.9	chr16	+	12647	12384	263	1|1|1|1|12384|12647
ENSMUSG00000022673.6	ENSMUSG00000022673	Mcm4	ENSMUST00000023353.4	chr16	-	3589	2586	1003	1|1|1|1|2586|3589
ENSMUSG00000022674.16	ENSMUSG00000022674	Ube2v2	ENSMUST00000115777.10	chr16	-	4207	435	3772	1|1|1|1|435|4207
ENSMUSG00000022676.8	ENSMUSG00000022676	Snai2	ENSMUST00000023356.8	chr16	+	2021	807	1214	1|1|1|1|807|2021
ENSMUSG00000022677.16	ENSMUSG00000022677	Cep20	ENSMUST00000023357.14	chr16	-	1465	522	943	1|1|1|1|522|1465
ENSMUSG00000022678.17	ENSMUSG00000022678	Nde1	ENSMUST00000023359.13	chr16	+	2287	1032	1255	1|1|1|1|1032|2287
ENSMUSG00000022679.14	ENSMUSG00000022679	Mpv17l	ENSMUST00000023360.14	chr16	+	3087	582	2505	1|1|1|1|582|3087
ENSMUSG00000022680.15	ENSMUSG00000022680	Pdxdc1	ENSMUST00000115804.9	chr16	-	2880	2130	750	1|1|1|1|2130|2880
ENSMUSG00000022681.16	ENSMUSG00000022681	Ntan1	ENSMUST00000023362.15	chr16	+	1175	930	245	1|1|1|1|930|1175
ENSMUSG00000022682.9	ENSMUSG00000022682	Rrn3	ENSMUST00000023363.8	chr16	+	3582	1968	1614	1|1|1|1|1968|3582
ENSMUSG00000022683.14	ENSMUSG00000022683	Pla2g10	ENSMUST00000023364.7	chr16	-	1423	453	970	1|1|1|1|453|1423
ENSMUSG00000022684.16	ENSMUSG00000022684	Bfar	ENSMUST00000023365.13	chr16	+	3003	1350	1653	1|1|1|1|1350|3003
ENSMUSG00000022685.10	ENSMUSG00000022685	Parn	ENSMUST00000058884.10	chr16	-	2906	1872	1034	1|1|1|1|1872|2906
ENSMUSG00000022686.15	ENSMUSG00000022686	B3gnt5	ENSMUST00000079780.10	chr16	+	4258	1128	3130	1|1|1|1|1128|4258
ENSMUSG00000022687.13	ENSMUSG00000022687	Boc	ENSMUST00000114634.3	chr16	-	4451	3330	1121	1|1|1|1|3330|4451
ENSMUSG00000022696.18	ENSMUSG00000022696	Sidt1	ENSMUST00000136381.8	chr16	-	4404	2481	1923	1|1|1|1|2481|4404
ENSMUSG00000022698.18	ENSMUSG00000022698	Naa50	ENSMUST00000063520.15	chr16	+	3557	504	3053	1|1|1|1|504|3557
ENSMUSG00000022701.19	ENSMUSG00000022701	Ccdc191	ENSMUST00000178400.9	chr16	+	3745	2649	1096	0|1|1|1|2649|3745
ENSMUSG00000022702.17	ENSMUSG00000022702	Hira	ENSMUST00000004222.14	chr16	+	4218	3045	1173	1|1|1|1|3045|4218
ENSMUSG00000022704.17	ENSMUSG00000022704	Qtrt2	ENSMUST00000023387.14	chr16	-	2838	1035	1803	1|0|1|1|1035|2838
ENSMUSG00000022705.6	ENSMUSG00000022705	Drd3	ENSMUST00000023390.5	chr16	+	1455	1338	117	1|1|1|1|1338|1455
ENSMUSG00000022706.17	ENSMUSG00000022706	Mrpl40	ENSMUST00000023391.16	chr16	-	1280	618	662	1|1|1|1|618|1280
ENSMUSG00000022707.17	ENSMUSG00000022707	Gbe1	ENSMUST00000171132.8	chr16	+	3303	1980	1323	1|0|0|1|1980|3303
ENSMUSG00000022708.17	ENSMUSG00000022708	Zbtb20	ENSMUST00000114695.3	chr16	+	2977	2223	754	1|1|1|1|2223|2977
ENSMUSG00000022710.18	ENSMUSG00000022710	Usp7	ENSMUST00000161046.9	chr16	-	4003	3309	694	1|1|1|1|3309|4003
ENSMUSG00000022711.17	ENSMUSG00000022711	Pmm2	ENSMUST00000023396.10	chr16	+	1842	726	1116	1|1|1|1|726|1842
ENSMUSG00000022715.4	ENSMUSG00000022715	Tmem114	ENSMUST00000023400.4	chr16	-	1407	666	741	1|1|1|1|666|1407
ENSMUSG00000022718.13	ENSMUSG00000022718	Dgcr8	ENSMUST00000009321.11	chr16	-	4320	2319	2001	1|1|1|1|2319|4320
ENSMUSG00000022721.20	ENSMUSG00000022721	Trmt2a	ENSMUST00000100099.10	chr16	+	2235	1839	396	1|1|1|1|1839|2235
ENSMUSG00000022722.19	ENSMUSG00000022722	Arl6	ENSMUST00000023405.16	chr16	-	1696	558	1138	1|1|1|1|558|1696
ENSMUSG00000022723.17	ENSMUSG00000022723	Crybg3	ENSMUST00000044604.16	chr16	-	6544	3714	2830	1|0|0|1|3714|6544
ENSMUSG00000022724.16	ENSMUSG00000022724	Riox2	ENSMUST00000160571.2	chr16	+	2244	1395	849	1|1|1|1|1395|2244
ENSMUSG00000022738.8	ENSMUSG00000022738	Gsc2	ENSMUST00000012279.6	chr16	-	1172	603	569	1|0|0|1|603|1172
ENSMUSG00000022742.7	ENSMUSG00000022742	Cpox	ENSMUST00000060077.7	chr16	+	3097	1329	1768	1|1|1|1|1329|3097
ENSMUSG00000022744.13	ENSMUSG00000022744	Cldnd1	ENSMUST00000023426.12	chr16	+	2147	759	1388	1|1|1|1|759|2147
ENSMUSG00000022747.18	ENSMUSG00000022747	St3gal6	ENSMUST00000137035.8	chr16	-	4123	987	3136	1|1|1|1|987|4123
ENSMUSG00000022748.9	ENSMUSG00000022748	Cmss1	ENSMUST00000114371.5	chr16	-	1150	828	322	1|1|1|1|828|1150
ENSMUSG00000022749.9	ENSMUSG00000022749	Tbc1d23	ENSMUST00000023431.8	chr16	-	3690	2052	1638	1|1|1|1|2052|3690
ENSMUSG00000022750.19	ENSMUSG00000022750	Klhl22	ENSMUST00000120488.3	chr16	+	2596	1902	694	1|1|1|1|1902|2596
ENSMUSG00000022751.10	ENSMUSG00000022751	Nit2	ENSMUST00000023432.10	chr16	-	1286	828	458	1|1|1|1|828|1286
ENSMUSG00000022752.10	ENSMUSG00000022752	Tomm70a	ENSMUST00000166897.3	chr16	+	5964	1833	4131	1|1|1|1|1833|5964
ENSMUSG00000022753.16	ENSMUSG00000022753	Tmem30c	ENSMUST00000119407.8	chr16	-	1396	1026	370	1|1|1|1|1026|1396
ENSMUSG00000022754.7	ENSMUSG00000022754	Tmem45a	ENSMUST00000023435.6	chr16	-	2701	819	1882	1|1|1|1|819|2701
ENSMUSG00000022755.5	ENSMUSG00000022755	Adgrg7	ENSMUST00000023437.5	chr16	-	2698	2355	343	1|1|1|1|2355|2698
ENSMUSG00000022756.18	ENSMUSG00000022756	Slc7a4	ENSMUST00000172164.10	chr16	-	3281	1905	1376	1|1|1|1|1905|3281
ENSMUSG00000022757.20	ENSMUSG00000022757	Tfg	ENSMUST00000065515.14	chr16	-	1945	1191	754	1|1|1|1|1191|1945
ENSMUSG00000022758.15	ENSMUSG00000022758	P2rx6	ENSMUST00000023441.11	chr16	+	2345	1167	1178	1|1|1|1|1167|2345
ENSMUSG00000022759.16	ENSMUSG00000022759	Lrrc74b	ENSMUST00000100123.10	chr16	-	2231	1173	1058	1|1|1|1|1173|2231
ENSMUSG00000022760.18	ENSMUSG00000022760	Thap7	ENSMUST00000100125.12	chr16	-	1248	927	321	1|1|1|1|927|1248
ENSMUSG00000022761.13	ENSMUSG00000022761	Lztr1	ENSMUST00000023444.11	chr16	+	3394	2511	883	1|1|1|1|2511|3394
ENSMUSG00000022762.19	ENSMUSG00000022762	Ncam2	ENSMUST00000037785.14	chr16	+	4893	2181	2712	1|1|1|1|2181|4893
ENSMUSG00000022763.19	ENSMUSG00000022763	Aifm3	ENSMUST00000023448.15	chr16	+	2688	1794	894	1|1|1|1|1794|2688
ENSMUSG00000022765.11	ENSMUSG00000022765	Snap29	ENSMUST00000023449.11	chr16	+	3447	780	2667	1|1|1|1|780|3447
ENSMUSG00000022766.15	ENSMUSG00000022766	Serpind1	ENSMUST00000023450.15	chr16	+	2191	1434	757	1|1|1|1|1434|2191
ENSMUSG00000022768.18	ENSMUSG00000022768	Ccdc116	ENSMUST00000023452.16	chr16	-	4210	1623	2587	1|1|1|1|1623|4210
ENSMUSG00000022769.10	ENSMUSG00000022769	Sdf2l1	ENSMUST00000023453.10	chr16	-	1108	663	445	1|1|1|1|663|1108
ENSMUSG00000022770.18	ENSMUSG00000022770	Dlg1	ENSMUST00000064477.14	chr16	+	4663	2781	1882	1|1|1|1|2781|4663
ENSMUSG00000022771.18	ENSMUSG00000022771	Ppil2	ENSMUST00000023455.14	chr16	-	2333	1563	770	1|1|1|1|1563|2333
ENSMUSG00000022772.13	ENSMUSG00000022772	Senp5	ENSMUST00000023457.13	chr16	-	3370	2247	1123	1|1|1|1|2247|3370
ENSMUSG00000022773.20	ENSMUSG00000022773	Ypel1	ENSMUST00000035682.16	chr16	+	3322	354	2968	1|1|1|1|354|3322
ENSMUSG00000022774.14	ENSMUSG00000022774	Ncbp2	ENSMUST00000023460.7	chr16	+	2070	468	1602	1|1|1|1|468|2070
ENSMUSG00000022779.17	ENSMUSG00000022779	Top3b	ENSMUST00000023465.16	chr16	+	3073	2586	487	1|1|1|1|2586|3073
ENSMUSG00000022780.6	ENSMUSG00000022780	Meltf	ENSMUST00000023464.6	chr16	+	4133	2214	1919	1|1|1|1|2214|4133
ENSMUSG00000022781.9	ENSMUSG00000022781	Pak2	ENSMUST00000023467.9	chr16	-	5741	1572	4169	1|1|1|1|1572|5741
ENSMUSG00000022783.12	ENSMUSG00000022783	Spag6l	ENSMUST00000023468.6	chr16	-	2416	1521	895	1|1|1|1|1521|2416
ENSMUSG00000022787.11	ENSMUSG00000022787	Wdr53	ENSMUST00000023474.4	chr16	+	1394	1074	320	1|1|1|1|1074|1394
ENSMUSG00000022788.17	ENSMUSG00000022788	Fgd4	ENSMUST00000161861.8	chr16	-	8342	2298	6044	1|1|1|1|2298|8342
ENSMUSG00000022789.16	ENSMUSG00000022789	Dnm1l	ENSMUST00000096229.11	chr16	-	3966	2136	1830	1|1|1|1|2136|3966
ENSMUSG00000022790.15	ENSMUSG00000022790	Igsf11	ENSMUST00000023478.8	chr16	+	3443	1284	2159	1|1|1|1|1284|3443
ENSMUSG00000022791.20	ENSMUSG00000022791	Tnk2	ENSMUST00000115124.9	chr16	+	4516	3165	1351	1|1|1|1|3165|4516
